Ticket Type, Issue Type, Category, Sub Category, Issue, Priority, L0 Response Time, L0 ResoultionTime, L0 Assignee,L1 Response Time, L1 ResoultionTime, L1 Assignee,L2 Response Time, L2 ResoultionTime, L2 Assignee,L3 Response Time, L3 ResoultionTime, L3 Assignee,L4 Response Time, L4 ResoultionTime, L4 Assignee,L5 Response Time, L5 ResoultionTime, L5 Assignee, Status, Client Escalation, Tenant Escalation
Proactive,Observation,Bagmane One Software,Metering,Minor Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Others,Others - Backend/ IT Related - CamplusOne Software,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,CRM,Minor Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Soft Services,Pest Control,Beehive removal,P1,30,1440,Team Leader_L0,120,2880,Building Manager_Manager Soft Services_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head Soft Services_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Fire extinguishers validity expired,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Fire extinguisher issues,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Others,Dog menace,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Fire hydrant system issues,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Fire extinguisher issues,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Fire hydrant system issues,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Others,Mirror has been broken.,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Others,Security - Security - Others,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Fire extinguishers validity expired,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Inventory,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Energy / BTU / Water Bills,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Access Control,PPM Observation,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Fire Hose Pipe/Hose Box/Nozzle Defective,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
